dataset,variable,n,mean,std,min,p25,median,p75,max
population,year,13,2021.0,19.472,1991.0,2006.0,2021.0,2036.0,2051.0
population,population,13,772759.231,273726.13,458616.0,561258.0,699116.0,942000.0,1300000.0
heat,year,40,2011.15,14.859,1990.0,1999.75,2009.5,2019.25,2050.0
heat,extreme_heat_days,40,15.4,7.675,4.0,10.0,14.0,19.0,38.0
temperature,year,74,1986.5,21.506,1950.0,1968.25,1986.5,2004.75,2023.0
temperature,mean_temp_c,74,7.975,0.604,6.82,7.542,7.935,8.402,9.35
flood_risk,pct_at_risk,8,45.375,19.957,22.0,30.5,41.0,55.75,80.0
flood_risk,estimated_replacement_value_m_cad,8,2257.5,2853.833,0.0,592.5,995.0,2775.0,8500.0
funding,year,8,2021.5,2.449,2018.0,2019.75,2021.5,2023.25,2025.0
funding,fcm_gmf_disbursed_m_cad,8,207.875,97.238,89.0,128.5,196.5,277.75,358.0
funding,infra_canada_climate_m_cad,8,444.0,306.933,120.0,184.75,378.5,654.0,940.0
funding,num_municipalities_funded,8,297.25,116.337,142.0,196.75,300.5,397.0,444.0
impacts,year,9,2019.0,2.739,2015.0,2017.0,2019.0,2021.0,2023.0
impacts,insured_losses_m_cad,9,2170.0,843.193,980.0,1650.0,2100.0,2800.0,3450.0
impacts,heat_hospitalizations_ontario,9,535.667,189.104,287.0,398.0,521.0,689.0,823.0
impacts,flood_events_durham,9,4.778,1.986,2.0,3.0,5.0,6.0,8.0
impacts,avg_response_time_hrs,9,6.2,0.972,4.8,5.5,6.1,6.8,7.8
